Dom Quixote,Miguel de Cervantes,1605,Ficção,1072,
Guerra e Paz,Leon Tolstói,1869,Ficção,1225,
Cem Anos de Solidão,Gabriel García Márquez,1967,Ficção,417,
1984,George Orwell,1949,Ficção Científica,328,
O Senhor dos Anéis,J.R.R. Tolkien,1954,Fantasia,1178,
Orgulho e Preconceito,Jane Austen,1813,Romance,279,
Moby Dick,Herman Melville,1851,Aventura,635,
O Grande Gatsby,F. Scott Fitzgerald,1925,Ficção,218,
A Revolução dos Bichos,George Orwell,1945,Fábula,112,
O Apanhador no Campo de Centeio,J.D. Salinger,1951,Ficção,214,
